Id,Needs_NSC_Review__c,NSC_Review_Reason__c
003f400000KvxPsAAJ,True,<Warning>Attending enrollment not confirmed by NSC: DeSales University (Aug 2015 start); <Warning>Attending enrollment not confirmed by NSC: Atlantic Cape Community College (Jan 2017 start)
003f400000KvxcxAAB,True,<Changed>New unreported left college: Evergreen Valley College (Sep 2017 start); <Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000Kvxd0AAB,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000TlTKEAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxVoAAJ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000TlTPgAAN,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
003f400000KvxQYAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Jan 2018 start)
003f400000KvxWGAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start)
003f400000KvxQPAAZ,True,<Changed>New unreported left college: Evergreen Valley College (Jan 2017 start)
003f400000KvxGPAAZ,True,<Warning>Attending enrollment not confirmed by NSC: University of Southern California (Aug 2016 start); <Warning>Transferred out enrollment not confirmed by NSC: Canada College (Jun 2014 start); <Warning>Transferred out enrollment not confirmed by NSC: University of Southern California (Aug 2011 start)
003f400000OdnFYAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start)
