Id,Needs_NSC_Review__c,NSC_Review_Reason__c,Index (for debugging)
003f400000xFjytAAC,True,<Not changed>Graduation not confirmed (Attending in NSC): West Valley College (May 2019 start),3690
003f400000xFjytAAC,True,<Changed>New unreported left college: Ohlone Community College (Aug 2018 start),3691
003f400000xFjytAAC,True,<Changed>New unreported left college: West Valley College (May 2018 start),3689
003f400000KvxWOAAZ,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2018 start),4237
003f400000KvxWOAAZ,True,<Added>NSC indicates previously unreported enrollment (Withdrew):  (Sep 2017 start),4236
003f400000Kvx48AAB,True,<Changed>New unreported left college: Skyline College (Aug 2018 start),3275
003f400000TlTPVAA3,True,<Changed>New unreported left college: Sacramento City College (Aug 2018 start),2063
003f400000TlTLXAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),2924
003f400000TlTKoAAN,True,<Changed>New unreported left college: California State University-Sacramento (Aug 2018 start),269
003f400000KvxQsAAJ,True,<Changed>New unreported left college: West Valley College (Jan 2019 start),1290
003f40000169hw8AAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jun 2020 start),2310
003f400000TlTKVAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),3960
003f400000KvxckAAB,True,<Not changed>NSC indicates still attending (currently Withdrew): Canada College (Aug 2017 start currently 09/07/2020 end),2350
003f400000TlTSxAAN,True,<Changed>New unreported left college: Gavilan College (Aug 2018 start),2599
003f40000169huwAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Jan 2020 start),3173
003f400000KvxW6AAJ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Jun 2017 start),2732
003f400000TlTKEAA3,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2018 start),459
003f400000Kvxe1AAB,True,<Changed>New unreported left college: American River College (Jan 2019 start),1189
003f400000Kvxe1AAB,True,<Changed>New unreported left college: Sacramento City College (Jan 2019 start),1188
003f400000Kvxe1AAB,True,<Changed>New unreported left college: Cosumnes River College (Jan 2019 start),1185
003f400000TlTRcAAN,True,<Changed>New unreported left college: College of San Mateo (Aug 2018 start),1912
003f400000TlTRcAAN,True,<Changed>New unreported left college: Arapahoe Community College (Jan 2019 start),1911
003f400000KvxVTAAZ,True,<Changed>New unreported left college: Clovis Community College (NM) (Aug 2017 start),416
003f400000KvxVTAAZ,True,<Changed>New unreported left college: Monterey Peninsula College (Aug 2018 start),415
003f400000KvxVTAAZ,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Aug 2016 start),417
003f400000KvxTxAAJ,True,<Not changed>Graduation not confirmed (Attending in NSC): University of California-Riverside (Sep 2016 start),559
003f400000TlTSTAA3,True,<Changed>New unreported left college: California State University-Sacramento (Aug 2018 start),4095
003f400000Kvxd1AAB,True,<Changed>New unreported left college: Mission College (May 2018 start),957
003f400000Kvxe6AAB,True,<Added>NSC indicates previously unreported enrollment (Transferred out):  (Sep 2017 start),2535
003f400000KvxJcAAJ,True,<Changed>New unreported left college: College of San Mateo (Aug 2017 start),1744
003f400000KvxgBAAR,True,<Changed>New unreported left college: Mission College (May 2018 start),2041
003f400000KvxXJAAZ,True,<Changed>New unreported left college: Mission College (May 2018 start),922
003f400000KvxMIAAZ,True,<Changed>New unreported left college: Vanguard University of Southern California (Aug 2017 start),1254
003f400000TlTMfAAN,True,<Changed>New unreported left college: Canada College (Aug 2018 start),3645
003f40000169hqfAAA,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2019 start),1
003f400000KvxdCAAR,True,<Added>NSC indicates previously unreported enrollment (Attending):  (Sep 2017 start),1241
003f400000TlTMUAA3,True,<Changed>New unreported left college: Notre Dame de Namur University (Aug 2018 start),1503
