Case,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Index,Student__c,College__c,Start_Date__c,End_Date__c,Date_Last_Verified__c,Status__c,Degree_Type__c,Data_Source__c,Degree_Text__c,Major_Text__c,Id,Withdrawal_reason__c,Withdrawal_code__c,Index
Perfect Match,003f400000KvxGQAAZ,001f400000LvhP6AAJ,2011-09-12,2015-12-12,2018-11-28,Transferred out,Bachelor's,NSC,,,275,003f400000KvxGQAAZ,001f400000LvhP6AAJ,2011-09-12,2015-12-12,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n6gLAAQ,,,69
Perfect Match,003f400000KvxGQAAZ,001f400000LvhyZAAR,2012-06-18,2012-08-11,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,274,003f400000KvxGQAAZ,001f400000LvhyZAAR,2012-06-18,2012-08-11,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6gOAAQ,,,72
Perfect Match,003f400000KvxGjAAJ,001f400000LvhPRAAZ,2012-09-27,2016-06-10,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MECHANICAL ENGINEERING,1993,003f400000KvxGjAAJ,001f400000LvhPRAAZ,2012-09-27,2016-06-10,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,MECHANICAL ENGINEERING,a02f4000006n6poAAA,,,497
Perfect Match,003f400000TlTKuAAN,001f400000LvhyZAAR,2018-08-16,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,2189,003f400000TlTKuAAN,001f400000LvhyZAAR,2018-08-16,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli20AAB,,,2450
Perfect Match,003f400000KvxQiAAJ,001f400000LvhpQAAR,2015-09-23,,2018-11-28,Attending,Bachelor's,NSC,,,2620,003f400000KvxQiAAJ,001f400000LvhpQAAR,2015-09-23,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7DaAAI,,,1578
Perfect Match,003f400000KvxQiAAJ,001f400000Lvi06AAB,2016-06-20,2016-07-28,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,2619,003f400000KvxQiAAJ,001f400000Lvi06AAB,2016-06-20,2016-07-28,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7DZAAY,,,1577
Perfect Match,003f400000TlTKGAA3,001f400000LvhQ3AAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,1387,003f400000TlTKGAA3,001f400000LvhQ3AAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli4mAAB,,,2622
Perfect Match,003f400000KvxPyAAJ,001f400000LvhTyAAJ,2015-09-09,,2018-11-28,Attending,Bachelor's,NSC,,,333,003f400000KvxPyAAJ,001f400000LvhTyAAJ,2015-09-09,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n79sAAA,,,1401
Perfect Match,003f400000KvxJ0AAJ,001f400000LvhQBAAZ,2013-08-28,2015-05-08,2018-11-28,Withdrew,Bachelor's,NSC,,,1525,003f400000KvxJ0AAJ,001f400000LvhQBAAZ,2013-08-28,2015-05-08,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n7MqAAI,,,1973
Perfect Match,003f400000KvxJ0AAJ,001f400000Lvi07AAB,2017-01-18,2017-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,1524,003f400000KvxJ0AAJ,001f400000Lvi07AAB,2017-01-18,2017-12-16,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7MpAAI,,,1972
Perfect Match,003f400000KvxWjAAJ,001f400000LvhPMAAZ,2018-09-26,,2018-11-28,Attending,Bachelor's,NSC,,,1548,003f400000KvxWjAAJ,001f400000LvhPMAAZ,2018-09-26,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000BlhzfAAB,,,2305
Perfect Match,003f400000KvxWjAAJ,001f400000Lvi06AAB,2016-08-29,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1547,003f400000KvxWjAAJ,001f400000Lvi06AAB,2016-08-29,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n799AAA,,,1372
(NSC only) New transferred out enrollment,003f400000KvxWjAAJ,001f400000LvhyxAAB,2018-01-29,2018-05-25,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1546
Perfect Match,003f400000KvxQsAAJ,001f400000LvhKOAAZ,2015-05-26,2018-05-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2808,003f400000KvxQsAAJ,001f400000LvhKOAAZ,2015-05-26,2018-05-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6yxAAA,,,901
Perfect Match,003f400000KvxOqAAJ,001f400000LvhPSAAZ,2015-09-19,,2018-11-28,Attending,Bachelor's,NSC,,,239,003f400000KvxOqAAJ,001f400000LvhPSAAZ,2015-09-19,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6xIAAQ,,,816
Perfect Match,003f400000KvxOqAAJ,001f400000LvhyZAAR,2017-06-12,2017-07-20,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,238,003f400000KvxOqAAJ,001f400000LvhyZAAR,2017-06-12,2017-07-20,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6xJAAQ,,,817
Perfect Match,003f400000TlTRPAA3,001f400000LvhQ3AAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,453,003f400000TlTRPAA3,001f400000LvhQ3AAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli0FAAR,,,2341
Perfect Match,003f400000OdnFiAAJ,001f400000LvhP0AAJ,2018-09-04,,2018-11-28,Attending,Bachelor's,NSC,,,1896,003f400000OdnFiAAJ,001f400000LvhP0AAJ,2018-09-04,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli8VAAR,,,2853
Perfect Match,003f400000KvxIWAAZ,001f400000LvlNKAAZ,2013-08-29,2015-05-15,2018-11-28,Transferred out,Bachelor's,NSC,,,2105,003f400000KvxIWAAZ,001f400000LvlNKAAZ,2013-08-29,2015-05-15,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n757AAA,,,1177
Perfect Match,003f400000KvxIWAAZ,001f400000LvhPMAAZ,2018-03-23,2018-03-23,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,HISTORY,2104,003f400000KvxIWAAZ,001f400000LvhPMAAZ,2018-03-23,2018-03-23,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,HISTORY,a02f400000Bli5MAAR,,,2658
Perfect Match,003f400000KvxIWAAZ,001f400000LvhPMAAZ,2015-06-14,2017-09-15,2018-11-28,Withdrew,Bachelor's,NSC,,,2103,003f400000KvxIWAAZ,001f400000LvhPMAAZ,2015-06-14,2017-09-15,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n756AAA,,,1176
Perfect Match,003f400000KvxIWAAZ,001f400000LvhyZAAR,2014-06-16,2014-08-09,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,2102,003f400000KvxIWAAZ,001f400000LvhyZAAR,2014-06-16,2014-08-09,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n755AAA,,,1175
Perfect Match,003f400000TlTLEAA3,001f400000LvhQiAAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,2202,003f400000TlTLEAA3,001f400000LvhQiAAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli5mAAB,,,2684
Perfect Match,003f400000KvxWsAAJ,001f400000LvlNKAAZ,2017-08-23,,2018-11-28,Attending,Bachelor's,NSC,,,2464,003f400000KvxWsAAJ,001f400000LvlNKAAZ,2017-08-23,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n78vAAA,,,1360
Perfect Match,003f400000TlTQDAA3,001f400000LvhOKAAZ,2018-08-16,,2018-11-28,Attending,Bachelor's,NSC,,,773,003f400000TlTQDAA3,001f400000LvhOKAAZ,2018-08-16,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli6LAAR,,,2719
Perfect Match,003f400000TlTLZAA3,001f400000LvhQlAAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,1066,003f400000TlTLZAA3,001f400000LvhQlAAJ,2018-08-20,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Blhx7AAB,,,2147
Perfect Match,003f400000KvxVlAAJ,001f400000LvhP9AAJ,2016-08-24,2016-12-20,2018-11-28,Withdrew,Bachelor's,NSC,,,2936,003f400000KvxVlAAJ,001f400000LvhP9AAJ,2016-08-24,2016-12-20,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n7A3AAI,,,1412
Perfect Match,003f400000KvxVEAAZ,001f400000LvhQ3AAJ,2016-08-22,,2018-11-28,Attending,Bachelor's,NSC,,,245,003f400000KvxVEAAZ,001f400000LvhQ3AAJ,2016-08-22,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7KWAAY,,,1890
Perfect Match,003f400000TlTMzAAN,001f400000LvhefAAB,2018-09-04,,2018-11-28,Attending,Bachelor's,NSC,,,2750,003f400000TlTMzAAN,001f400000LvhefAAB,2018-09-04,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000BlhyFAAR,,,2217
Perfect Match,003f400000TlTOiAAN,001f400000LvhOyAAJ,2018-08-27,,2018-11-28,Attending,Bachelor's,NSC,,,608,003f400000TlTOiAAN,001f400000LvhOyAAJ,2018-08-27,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli4cAAB,,,2612
Perfect Match,003f400000KvxHnAAJ,001f400000LvhyZAAR,2015-01-22,2015-06-01,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2191,003f400000KvxHnAAJ,001f400000LvhyZAAR,2015-01-22,2015-06-01,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6mNAAQ,,,347
Perfect Match,003f400000KvxHnAAJ,001f400000LvhyZAAR,2012-08-20,2013-01-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2190,003f400000KvxHnAAJ,001f400000LvhyZAAR,2012-08-20,2013-01-25,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6mMAAQ,,,346
Perfect Match,003f400000KvxVcAAJ,001f400000LvhQYAAZ,2016-08-24,,2018-11-28,Attending,Bachelor's,NSC,,,343,003f400000KvxVcAAJ,001f400000LvhQYAAZ,2016-08-24,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6mCAAQ,,,336
Perfect Match,003f400000TlTQVAA3,001f400000LvhQYAAZ,2018-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,2657,003f400000TlTQVAA3,001f400000LvhQYAAZ,2018-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000BlhxOAAR,,,2164
Perfect Match,003f400000KvxZ3AAJ,001f400000LvhQ4AAJ,2017-08-30,,2018-11-28,Attending,Bachelor's,NSC,,,1610,003f400000KvxZ3AAJ,001f400000LvhQ4AAJ,2017-08-30,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7MAAAY,,,1943
Perfect Match,003f400000KvxH1AAJ,001f400000LvhOLAAZ,2012-08-20,2016-05-14,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,SOCIOLOGY,610,003f400000KvxH1AAJ,001f400000LvhOLAAZ,2012-08-20,2016-05-14,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,SOCIOLOGY,a02f4000006n6lOAAQ,,,296
Perfect Match,003f400000TlTKMAA3,001f400000LvhPLAAZ,2018-08-15,,2018-11-28,Attending,Bachelor's,NSC,,,1813,003f400000TlTKMAA3,001f400000LvhPLAAZ,2018-08-15,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli4FAAR,,,2589
Perfect Match,003f400000KvxUuAAJ,001f400000LvhyrAAB,2018-01-08,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,2044,003f400000KvxUuAAJ,001f400000LvhyrAAB,2018-01-08,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli30AAB,,,2512
Perfect Match,003f400000KvxUuAAJ,001f400000LvhyrAAB,2016-09-26,2017-03-31,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2043,003f400000KvxUuAAJ,001f400000LvhyrAAB,2016-09-26,2017-03-31,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n6ocAAA,,,454
Perfect Match,003f400000KvxWDAAZ,001f400000LvhQSAAZ,2016-08-29,2018-05-10,2018-11-28,Withdrew,Bachelor's,NSC,,,192,003f400000KvxWDAAZ,001f400000LvhQSAAZ,2016-08-29,2018-05-10,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6xjAAA,,,837
Perfect Match,003f400000TlTP9AAN,001f400000LvhQXAAZ,2018-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,697,003f400000TlTP9AAN,001f400000LvhQXAAZ,2018-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli4pAAB,,,2625
Perfect Match,003f400000KvxRsAAJ,001f400000LvhQWAAZ,2015-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,1015,003f400000KvxRsAAJ,001f400000LvhQWAAZ,2015-08-21,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6r0AAA,,,538
Perfect Match,003f400000KvxPtAAJ,001f400000LvhdnAAB,2018-09-04,,2018-11-28,Attending,Bachelor's,NSC,,,1470,003f400000KvxPtAAJ,001f400000LvhdnAAB,2018-09-04,,2018-11-28,Attending,Bachelor's,NSC,,,a02f400000Bli6FAAR,,,2713
Perfect Match,003f400000KvxPtAAJ,001f400000Lvi8mAAB,2017-03-05,2018-08-07,2018-11-28,Graduated,Associate's,NSC,ASSOCIATE IN ARTS,LIBERAL ARTS AA,1469,003f400000KvxPtAAJ,001f400000Lvi8mAAB,2017-03-05,2018-08-07,2018-11-28,Graduated,Associate's or Certificate (TBD),NSC,ASSOCIATE IN ARTS,LIBERAL ARTS AA,a02f4000006n71yAAA,,,1034
Perfect Match,003f400000KvxeIAAR,001f400000LvhQWAAZ,2017-08-23,,2018-11-28,Attending,Bachelor's,NSC,,,2258,003f400000KvxeIAAR,001f400000LvhQWAAZ,2017-08-23,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7KCAAY,,,1878
Perfect Match,003f400000KvxeLAAR,001f400000LvhP6AAJ,2017-09-07,,2018-11-28,Attending,Bachelor's,NSC,,,1340,003f400000KvxeLAAR,001f400000LvhP6AAJ,2017-09-07,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7NjAAI,,,2019
Perfect Match,003f400000KvxLKAAZ,001f400000LvhQiAAJ,2014-08-19,2018-05-19,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,PSYCHOLOGY,1897,003f400000KvxLKAAZ,001f400000LvhQiAAJ,2014-08-19,2018-05-19,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,PSYCHOLOGY,a02f4000006n7FmAAI,,,1675
Perfect Match,003f400000KvxQWAAZ,001f400000LvhyrAAB,2016-09-26,2017-12-15,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,715,003f400000KvxQWAAZ,001f400000LvhyrAAB,2016-09-26,2017-12-15,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n766AAA,,,1227
Perfect Match,003f400000KvxQWAAZ,001f400000LvhyrAAB,2015-09-21,2016-04-05,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,714,003f400000KvxQWAAZ,001f400000LvhyrAAB,2015-09-21,2016-04-05,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n765AAA,,,1226
Perfect Match,003f400000KvxfZAAR,001f400000LvhP5AAJ,2017-08-30,,2018-11-28,Attending,Bachelor's,NSC,,,710,003f400000KvxfZAAR,001f400000LvhP5AAJ,2017-08-30,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6myAAA,,,380
Perfect Match,003f400000KvxUzAAJ,001f400000LvhzcAAB,2016-08-27,2016-12-17,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,807,003f400000KvxUzAAJ,001f400000LvhzcAAB,2016-08-27,2016-12-17,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7BUAAY,,,1477
Perfect Match,003f400000KvxIlAAJ,001f400000LvhPQAAZ,2017-09-28,2018-03-24,2018-11-28,Withdrew,Bachelor's,NSC,,,1684,003f400000KvxIlAAJ,001f400000LvhPQAAZ,2017-09-28,2018-03-24,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6rkAAA,,,572
Perfect Match,003f400000KvxIlAAJ,001f400000LvhPQAAZ,2013-09-26,2015-06-12,2018-11-28,Withdrew,Bachelor's,NSC,,,1683,003f400000KvxIlAAJ,001f400000LvhPQAAZ,2013-09-26,2015-06-12,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n6rjAAA,,,571
Perfect Match,003f400000KvxTWAAZ,001f400000LvhyZAAR,2016-08-08,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,1174,003f400000KvxTWAAZ,001f400000LvhyZAAR,2016-08-08,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f4000006n6iaAAA,,,169
Perfect Match,003f400000KvxG5AAJ,001f400000LvhQiAAJ,2013-08-20,2015-02-16,2018-11-28,Transferred out,Bachelor's,NSC,,,933,003f400000KvxG5AAJ,001f400000LvhQiAAJ,2013-08-20,2015-02-16,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n7KJAAY,,,1885
Perfect Match,003f400000KvxG5AAJ,001f400000LvhQiAAJ,2011-08-24,2012-05-11,2018-11-28,Transferred out,Bachelor's,NSC,,,932,003f400000KvxG5AAJ,001f400000LvhQiAAJ,2011-08-24,2012-05-11,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n7KIAAY,,,1884
Perfect Match,003f400000KvxG5AAJ,001f400000LvhW9AAJ,2015-03-31,2015-08-24,2018-11-28,Transferred out,Bachelor's,NSC,,,931,003f400000KvxG5AAJ,001f400000LvhW9AAJ,2015-03-31,2015-08-24,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n7KLAAY,,,1887
Perfect Match,003f400000KvxG5AAJ,001f400000LvhyZAAR,2016-06-13,2016-07-21,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,930,003f400000KvxG5AAJ,001f400000LvhyZAAR,2016-06-13,2016-07-21,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7KHAAY,,,1883
Perfect Match,003f400000KvxG5AAJ,001f400000LvhyZAAR,2015-08-17,2015-12-10,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,929,003f400000KvxG5AAJ,001f400000LvhyZAAR,2015-08-17,2015-12-10,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7KGAAY,,,1882
Perfect Match,003f400000KvxG5AAJ,001f400000LvhyXAAR,2012-08-27,2013-06-08,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,928,003f400000KvxG5AAJ,001f400000LvhyXAAR,2012-08-27,2013-06-08,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n7KKAAY,,,1886
Perfect Match,003f400000KvxG5AAJ,001f400000LvhQWAAZ,2016-01-27,,2018-11-28,Attending,Bachelor's,NSC,,,927,003f400000KvxG5AAJ,001f400000LvhQWAAZ,2016-01-27,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7KFAAY,,,1881
Perfect Match,003f400000KvxesAAB,001f400000LvhSsAAJ,2017-08-16,,2018-11-28,Attending,Bachelor's,NSC,,,1753,003f400000KvxesAAB,001f400000LvhSsAAJ,2017-08-16,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n6ydAAA,,,885
Perfect Match,003f400000KvxQ9AAJ,001f400000LvhzXAAR,2017-06-12,2017-07-22,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2819,003f400000KvxQ9AAJ,001f400000LvhzXAAR,2017-06-12,2017-07-22,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7DvAAI,,,1592
Perfect Match,003f400000KvxeEAAR,001f400000LvhPNAAZ,2017-09-25,,2018-11-28,Attending,Bachelor's,NSC,,,770,003f400000KvxeEAAR,001f400000LvhPNAAZ,2017-09-25,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7HeAAI,,,1770
Perfect Match,003f400000KvxRgAAJ,001f400000LvhQSAAZ,2017-08-28,,2018-11-28,Attending,Bachelor's,NSC,,,520,003f400000KvxRgAAJ,001f400000LvhQSAAZ,2017-08-28,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n76KAAQ,,,1235
Perfect Match,003f400000KvxRgAAJ,001f400000LvhyrAAB,2018-07-02,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,519,003f400000KvxRgAAJ,001f400000LvhyrAAB,2018-07-02,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000BlhxqAAB,,,2192
Perfect Match,003f400000KvxRgAAJ,001f400000LvhyrAAB,2015-06-29,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,518,003f400000KvxRgAAJ,001f400000LvhyrAAB,2015-06-29,2017-06-30,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n76LAAQ,,,1236
Perfect Match,003f400000KvxKSAAZ,001f400000LvhkPAAR,2013-09-04,2017-05-11,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,"MUSIC BUS., ENTRE., TECH.",614,003f400000KvxKSAAZ,001f400000LvhkPAAR,2013-09-04,2017-05-11,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF SCIENCE,"MUSIC BUS., ENTRE., TECH.",a02f4000006n6sOAAQ,,,605
Perfect Match,003f400000KvxKqAAJ,001f400000LvhQBAAZ,2015-09-02,2018-05-03,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION,1920,003f400000KvxKqAAJ,001f400000LvhQBAAZ,2015-09-02,2018-05-03,2018-11-28,Graduated,Bachelor's,NSC,BACHELOR OF ARTS,COMMUNICATION,a02f4000006n6yHAAQ,,,871
Perfect Match,003f400000KvxKqAAJ,001f400000LvhPMAAZ,2014-10-01,2015-06-11,2018-11-28,Transferred out,Bachelor's,NSC,,,1919,003f400000KvxKqAAJ,001f400000LvhPMAAZ,2014-10-01,2015-06-11,2018-11-28,Transferred out,Bachelor's,NSC,,,a02f4000006n6yFAAQ,,,869
Perfect Match,003f400000KvxKqAAJ,001f400000LvhyZAAR,2017-06-12,2017-07-20,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1918,003f400000KvxKqAAJ,001f400000LvhyZAAR,2017-06-12,2017-07-20,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6yEAAQ,,,868
Perfect Match,003f400000KvxKqAAJ,001f400000LvhyZAAR,2016-06-13,2016-07-21,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1917,003f400000KvxKqAAJ,001f400000LvhyZAAR,2016-06-13,2016-07-21,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6yDAAQ,,,867
Perfect Match,003f400000KvxKqAAJ,001f400000LvhyZAAR,2015-06-15,2015-07-23,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1916,003f400000KvxKqAAJ,001f400000LvhyZAAR,2015-06-15,2015-07-23,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6yCAAQ,,,866
Perfect Match,003f400000KvxKqAAJ,001f400000LvhzxAAB,2014-08-23,2014-12-18,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,1915,003f400000KvxKqAAJ,001f400000LvhzxAAB,2014-08-23,2014-12-18,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n6yGAAQ,,,870
Perfect Match,003f400000KvxVgAAJ,001f400000LvhPSAAZ,2016-09-17,,2018-11-28,Attending,Bachelor's,NSC,,,2535,003f400000KvxVgAAJ,001f400000LvhPSAAZ,2016-09-17,,2018-11-28,Attending,Bachelor's,NSC,,,a02f4000006n7NGAAY,,,1997
Perfect Match,003f400000TlTK7AAN,001f400000LvhyrAAB,2018-09-24,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,2269,003f400000TlTK7AAN,001f400000LvhyrAAB,2018-09-24,,2018-11-28,Attending,Associate's or Certificate (TBD),NSC,,,a02f400000Bli31AAB,,,2513
Perfect Match,003f400000KvxFPAAZ,001f400000LvhPGAAZ,2011-09-21,2016-07-07,2018-11-28,Graduated,Bachelor's,NSC,BS,BUSINESS ADMINISTRATION,622,003f400000KvxFPAAZ,001f400000LvhPGAAZ,2011-09-21,2016-07-07,2018-11-28,Graduated,Bachelor's,NSC,BS,BUSINESS ADMINISTRATION,a02f4000006n73hAAA,,,1113
Perfect Match,003f400000KvxFPAAZ,001f400000LvhyZAAR,2014-06-16,2014-08-09,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,621,003f400000KvxFPAAZ,001f400000LvhyZAAR,2014-06-16,2014-08-09,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n73kAAA,,,1116
Perfect Match,003f400000KvxFPAAZ,001f400000LvhyZAAR,2013-06-17,2013-08-10,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,620,003f400000KvxFPAAZ,001f400000LvhyZAAR,2013-06-17,2013-08-10,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n73jAAA,,,1115
Perfect Match,003f400000KvxFPAAZ,001f400000LvhyZAAR,2012-06-18,2012-08-11,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,619,003f400000KvxFPAAZ,001f400000LvhyZAAR,2012-06-18,2012-08-11,2018-11-28,Transferred out,Associate's or Certificate (TBD),NSC,,,a02f4000006n73iAAA,,,1114
Perfect Match,003f400000KvxPrAAJ,001f400000LvhPSAAZ,2015-09-19,2016-03-17,2018-11-28,Withdrew,Bachelor's,NSC,,,2885,003f400000KvxPrAAJ,001f400000LvhPSAAZ,2015-09-19,2016-03-17,2018-11-28,Withdrew,Bachelor's,NSC,,,a02f4000006n7HEAAY,,,1746
Perfect Match,003f400000KvxPrAAJ,001f400000Lvhz1AAB,2016-09-26,2018-03-30,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,2884,003f400000KvxPrAAJ,001f400000Lvhz1AAB,2016-09-26,2018-03-30,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7HFAAY,,,1747
Perfect Match,003f400000KvxSxAAJ,001f400000LvhyZAAR,2016-08-17,2017-12-06,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,51,003f400000KvxSxAAJ,001f400000LvhyZAAR,2016-08-17,2017-12-06,2018-11-28,Withdrew,Associate's or Certificate (TBD),NSC,,,a02f4000006n7FGAAY,,,1655
